"X","Y","color"
"0.93013041685986","0.6271951199321931","[1.0, 0.0]","[1.0, 0.0]"
"0.15224829073913151","0.39318365721906184","[0.0, 1.0]","[0.0, 1.0]"
"0.28327761593962514","0.25631765469145734","[0.0, 1.0]","[0.0, 1.0]"
"0.7497593619800997","0.8752297070474371","[1.0, 0.0]","[1.0, 0.0]"
"0.6571072222822821","0.8910376840841439","[1.0, 0.0]","[1.0, 0.0]"
"0.09028269284342617","0.32417105958357784","[0.0, 1.0]","[0.0, 1.0]"
"0.2602447380287574","0.16131067214606074","[0.0, 1.0]","[0.0, 1.0]"
"0.3020226409272764","0.2749830815541663","[0.0, 1.0]","[0.0, 1.0]"
"0.3414790050753714","0.09821384032302673","[0.0, 1.0]","[0.0, 1.0]"
"0.6681972970970875","0.7583613183333231","[1.0, 0.0]","[1.0, 0.0]"
"0.28526424983951804","0.20478930597565062","[0.0, 1.0]","[0.0, 1.0]"
"0.20436988898183128","0.19013465190519313","[0.0, 1.0]","[0.0, 1.0]"
"0.28002170395292453","0.27167109628298614","[0.0, 1.0]","[0.0, 1.0]"
"0.7989844953235072","0.7126027069681055","[1.0, 0.0]","[1.0, 0.0]"
"0.3191287056455744","0.20223127180302625","[0.0, 1.0]","[0.0, 1.0]"
"0.6024066513957601","0.7262634146268794","[1.0, 0.0]","[1.0, 0.0]"
"0.2982203314767632","0.2107861940662694","[0.0, 1.0]","[0.0, 1.0]"
"0.7305763963187123","0.7146829912819753","[1.0, 0.0]","[1.0, 0.0]"
"0.21488423082244737","0.07974935877256395","[0.0, 1.0]","[0.0, 1.0]"
"0.37564383347090774","0.22681607088744016","[0.0, 1.0]","[0.0, 1.0]"
"0.7325570594989547","0.664476530068123","[1.0, 0.0]","[1.0, 0.0]"
"0.3735060840001521","0.16453009697848686","[0.0, 1.0]","[0.0, 1.0]"
"0.22351480903639503","0.2781094754183166","[0.0, 1.0]","[0.0, 1.0]"
"0.20150340098609737","0.24893996011837394","[0.0, 1.0]","[0.0, 1.0]"
"0.9330227120671158","0.9841759722013876","[1.0, 0.0]","[1.0, 0.0]"
"0.21874199590358429","0.06103933733433138","[0.0, 1.0]","[0.0, 1.0]"
"0.7342826572343533","0.8058963016363837","[1.0, 0.0]","[1.0, 0.0]"
"0.9500982612050797","0.9490384284676904","[1.0, 0.0]","[1.0, 0.0]"
"0.7552411205513501","0.692202467977018","[1.0, 0.0]","[1.0, 0.0]"
"0.23795307641057034","0.1749864214498838","[0.0, 1.0]","[0.0, 1.0]"
"0.37096031030886234","0.23909261410472996","[0.0, 1.0]","[0.0, 1.0]"
"0.7033852902231131","0.7064777667564524","[1.0, 0.0]","[1.0, 0.0]"
"0.1403992158057525","0.1287244059386573","[0.0, 1.0]","[0.0, 1.0]"
"0.1452727351506781","0.13481920108288145","[0.0, 1.0]","[0.0, 1.0]"
"0.21978234248405673","0.22196910722640334","[0.0, 1.0]","[0.0, 1.0]"
"0.3349457013934616","0.28803372946581096","[0.0, 1.0]","[0.0, 1.0]"
"0.17908425151325885","0.2687006743260406","[0.0, 1.0]","[0.0, 1.0]"
"0.09007631179824872","0.17901748459013306","[0.0, 1.0]","[0.0, 1.0]"
"0.6243418297102954","0.6470307941405726","[1.0, 0.2767479816671212]","[1.0, 0.0]"
"0.7255744596471695","0.6079546680130442","[1.0, 0.0]","[1.0, 0.0]"
"0.03335124255236566","0.25429662510130685","[0.0, 1.0]","[0.0, 1.0]"
"0.8841828673663163","0.8902605979968036","[1.0, 0.0]","[1.0, 0.0]"
"0.7951159654872015","0.8480808927981163","[1.0, 0.0]","[1.0, 0.0]"
"0.06456660668231745","0.36966027632740955","[0.0, 1.0]","[0.0, 1.0]"
"0.6467153220425212","0.7429500779444763","[1.0, 0.0]","[1.0, 0.0]"
"0.7586821164913108","0.7679856493082773","[1.0, 0.0]","[1.0, 0.0]"
