"X","Y","color"
"0.682874709655686","0.6878657123937506","[1.0, 1.0]","[1.0, 0.0]"
"0.7070808796245899","0.6704673896642935","[1.0, 1.0]","[1.0, 0.0]"
"0.7537628297715852","0.7108208684646186","[1.0, 1.0]","[1.0, 0.0]"
"0.5063494333473785","0.7713561782863282","[1.0, 1.0]","[1.0, 0.0]"
"0.3038652405031493","0.34135230685794127","[1.0, 1.0]","[0.0, 1.0]"
"0.2189497547796083","0.392330647068968","[1.0, 1.0]","[0.0, 1.0]"
"0.7596047651346046","0.6771859864958142","[1.0, 1.0]","[1.0, 0.0]"
"0.8118698975470872","0.6932701998966488","[1.0, 1.0]","[1.0, 0.0]"
"0.31530865188743895","0.2606882035550548","[1.0, 1.0]","[0.0, 1.0]"
"0.3360442824420383","0.19073828231062862","[1.0, 1.0]","[0.0, 1.0]"
"0.8036742726852203","0.8011647391658075","[1.0, 1.0]","[1.0, 0.0]"
"0.7720645500546381","0.7688451419352595","[1.0, 1.0]","[1.0, 0.0]"
"0.6269930684262673","0.7186227318442026","[1.0, 1.0]","[1.0, 0.0]"
"0.7275166763807013","0.6714406789125335","[1.0, 1.0]","[1.0, 0.0]"
"0.5810294104765568","0.6481131619155591","[1.0, 1.0]","[1.0, 0.0]"
"0.2856014706310989","0.12115734674885528","[1.0, 1.0]","[0.0, 1.0]"
"0.36267045480722665","0.25522962080184514","[1.0, 1.0]","[0.0, 1.0]"
"0.34030713567499393","0.13428136085006392","[1.0, 1.0]","[0.0, 1.0]"
"0.6751661590341461","0.7274355249126513","[1.0, 1.0]","[1.0, 0.0]"
"0.7749442161285758","0.8279650884348532","[1.0, 1.0]","[1.0, 0.0]"
"0.353416485399848","0.27690334308272807","[1.0, 1.0]","[0.0, 1.0]"
"0.694690621281402","0.6797098281138741","[1.0, 1.0]","[1.0, 0.0]"
"0.7746938041241576","0.7534659336552861","[1.0, 1.0]","[1.0, 0.0]"
"0.22756145389744412","0.21364585527315214","[1.0, 1.0]","[0.0, 1.0]"
"0.3025225634678777","0.18483652692623923","[1.0, 1.0]","[0.0, 1.0]"
"0.7930030341397957","0.6961360457169307","[1.0, 1.0]","[1.0, 0.0]"
"0.580183183105221","0.758332821924339","[1.0, 1.0]","[1.0, 0.0]"
"0.8382914101994413","0.6601263672858816","[1.0, 1.0]","[1.0, 0.0]"
"0.7691173767109188","0.7210207396757857","[1.0, 1.0]","[1.0, 0.0]"
"0.8162069313280493","0.8004840030407009","[1.0, 1.0]","[1.0, 0.0]"
"0.6426727979714305","0.630732215142597","[1.0, 1.0]","[1.0, 0.0]"
"0.4158343413312684","0.2751987374122907","[1.0, 1.0]","[0.0, 1.0]"
"0.07798650804606423","0.21616465293837922","[1.0, 1.0]","[0.0, 1.0]"
"0.7506990569205766","0.6863001647754505","[1.0, 1.0]","[1.0, 0.0]"
"0.5955898327616179","0.6446168920140826","[1.0, 1.0]","[1.0, 0.0]"
"0.6780052661576288","0.6943240463281933","[1.0, 1.0]","[1.0, 0.0]"
"0.8570757705101373","0.7200301751671256","[1.0, 1.0]","[1.0, 0.0]"
"0.7669511519092758","0.7218773382468752","[1.0, 1.0]","[1.0, 0.0]"
"0.2793279279492226","0.20314705627479918","[1.0, 1.0]","[0.0, 1.0]"
"0.2894638363134134","0.35616873316229125","[1.0, 1.0]","[0.0, 1.0]"
"0.3403956726110628","0.33592888903152646","[1.0, 1.0]","[0.0, 1.0]"
"0.2815682472419715","0.34247721769802764","[1.0, 1.0]","[0.0, 1.0]"
"0.3549753873294993","0.246862951027334","[1.0, 1.0]","[0.0, 1.0]"
"0.8464417062161407","0.7761826304648767","[1.0, 1.0]","[1.0, 0.0]"
"0.3197914671906781","0.2968630731381028","[1.0, 1.0]","[0.0, 1.0]"
"0.27536580623954143","0.23010023220298892","[1.0, 1.0]","[0.0, 1.0]"
"0.3049343255403928","0.30154964547184987","[1.0, 1.0]","[0.0, 1.0]"
"0.7425359473590758","0.8967338010203417","[1.0, 1.0]","[1.0, 0.0]"
"0.40664187419769915","0.2834510818131129","[1.0, 1.0]","[0.0, 1.0]"
"0.7481972165844528","0.6516086360574448","[1.0, 1.0]","[1.0, 0.0]"
"0.6586260302575802","0.6990869664908517","[1.0, 1.0]","[1.0, 0.0]"
"0.6907815869667681","0.7632159898926066","[1.0, 1.0]","[1.0, 0.0]"
"0.8007960084579726","0.7564117258459145","[1.0, 1.0]","[1.0, 0.0]"
"0.30095686344248684","0.3446079383060731","[1.0, 1.0]","[0.0, 1.0]"
"0.18030040113555604","0.49040041835814036","[1.0, 1.0]","[0.0, 1.0]"
"0.7594878649152381","0.6534838561806274","[1.0, 1.0]","[1.0, 0.0]"
"0.6720367961067227","0.6254910744935587","[1.0, 1.0]","[1.0, 0.0]"
"0.7740506267871758","0.7541214474402655","[1.0, 1.0]","[1.0, 0.0]"
"0.673139001224869","0.6476714918359944","[1.0, 1.0]","[1.0, 0.0]"
"0.880365052824846","0.7421443176194837","[1.0, 1.0]","[1.0, 0.0]"
"0.21554207727986555","0.2755644785972965","[1.0, 1.0]","[0.0, 1.0]"
"0.2176796429356074","0.4536031603545673","[1.0, 1.0]","[0.0, 1.0]"
"0.7153556961722402","0.7233799334135776","[1.0, 1.0]","[1.0, 0.0]"
"0.16632764776842418","0.38592463019315854","[1.0, 1.0]","[0.0, 1.0]"
"0.4708069833079275","0.2867994111335194","[1.0, 1.0]","[0.0, 1.0]"
"0.8231313381912532","0.6770289620452925","[1.0, 1.0]","[1.0, 0.0]"
"0.7143221797759857","0.8446126816597891","[1.0, 1.0]","[1.0, 0.0]"
"0.8135721726339623","0.6700504588706677","[1.0, 1.0]","[1.0, 0.0]"
"0.6949562253139174","0.8120293561580201","[1.0, 1.0]","[1.0, 0.0]"
"0.8208233906972243","0.855458607434372","[1.0, 1.0]","[1.0, 0.0]"
