"X","Y","color"
"0.4875352336719986","0.3002475097468343","[1.0, 1.0, 0.0]","[0.0, 0.0, 1.0]"
"0.21619427274354497","0.15647750085908366","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.20943010395120742","0.7792284026433907","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.4455330443162852","0.12095414028700409","[1.0, 1.0, 0.0]","[0.0, 0.0, 1.0]"
"0.8109092179656135","0.7168396874814228","[1.0, 1.0, 0.0]","[1.0, 0.0, 0.0]"
"0.23929391978336495","0.5445054499573936","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.393029630608723","0.3092424219922387","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.40075924135760366","0.1991690754346905","[1.0, 1.0, 0.0]","[0.0, 0.0, 1.0]"
"0.2322469019921468","0.6089117432872239","[1.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.24100775181455614","0.7743450315828816","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.359783948415759","0.11987032782773945","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.3010240281679747","0.21336772678139215","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.41683023953412746","0.10332710346904651","[1.0, 1.0, 0.0]","[0.0, 0.0, 1.0]"
"0.12930496477820022","0.718209568849343","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.9392487917564144","0.6956355036670108","[1.0, 1.0, 0.0]","[1.0, 0.0, 0.0]"
"0.8259323375219323","0.6980758196383692","[1.0, 1.0, 0.0]","[1.0, 0.0, 0.0]"
"0.8048272223883447","0.8597930144567681","[1.0, 1.0, 0.0]","[1.0, 0.0, 0.0]"
"0.40801034088438876","0.5684331961227087","[1.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.24155603101606826","0.7264627555613179","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.32880835901242655","0.0016622630623250219","[1.0, 1.0, 0.0]","[0.0, 0.0, 1.0]"
"0.05355646454617386","0.7218787708055077","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.3305099838985941","0.842170372124589","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.1466833958480731","0.8003767368250345","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.20591617545322807","0.5713626270802529","[1.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.3365007843591149","0.19579083743765713","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.203753810522366","0.6698464141538168","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.23113213188871","0.8679790614812346","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.27851847233181226","0.6416576872143633","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.22197141148025765","0.6230947191750354","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.3313586526261831","0.21152221955481285","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.33581617619155246","0.14884206052504056","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.24764471651852657","0.711200413184257","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.1184792701546077","0.606461534403537","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.13847786951424199","0.7657291833825675","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.7852507672503779","0.6217164152358255","[1.0, 1.0, 0.0]","[1.0, 0.0, 0.0]"
"0.2381742925754379","0.852232889530686","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.06921524116542194","0.633604353121803","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.3809529706961425","0.13059346159657081","[1.0, 1.0, 0.0]","[0.0, 0.0, 1.0]"
"0.1375852975420411","0.2969702931132263","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.18630198026325206","0.5759750239707858","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.32289414687937296","0.7964907580742405","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.21706187015192516","0.6315988157034494","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.27952999960013053","0.8274808841743121","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.21979983750454807","0.8344473090818175","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.2106046053602255","0.6107805803003132","[1.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.3013882361584401","0.4219768857261633","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.11053134759697185","0.7149620341560453","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.27011104650255013","0.6480708653165463","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.18876279191368658","0.08147400686611453","[1.0, 1.0, 0.0]","[0.0, 0.0, 1.0]"
"0.32338457844703267","0.244574698516634","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.2182027576439442","0.595537449493817","[1.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.3499947741341787","0.9305703429887056","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.21384118956744722","0.7957752426435981","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.1538242969061357","0.8523179902109919","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.20340051600973205","0.9154362604096183","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.19521853013655696","0.7367533680879724","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.314693102123155","0.8125441393816747","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.22016612026354798","0.7844289283973935","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.7747505619540345","0.6218662934300121","[1.0, 1.0, 0.0]","[1.0, 0.0, 0.0]"
"0.19712137960739243","0.5633978288468141","[1.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.8210330938174637","0.7494558265141041","[1.0, 1.0, 0.0]","[1.0, 0.0, 0.0]"
"0.3195320305892543","0.5739914096025719","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.30392898604775986","0.5213208145365069","[1.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.36132693132125077","0.21030245147701762","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.8887961030745393","0.8249014442943606","[1.0, 1.0, 0.0]","[1.0, 0.0, 0.0]"
"0.1933706278017261","0.8151418997394905","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.2852872972240007","0.8886252062322368","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.34370800178701133","0.7555210620492634","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.951462110058143","0.6636929633401866","[1.0, 1.0, 0.0]","[1.0, 0.0, 0.0]"
"0.7683304338699705","0.7191151789031532","[1.0, 1.0, 0.0]","[1.0, 0.0, 0.0]"
"0.2851938645916371","0.8322593133544528","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.2864800182973681","0.8590929518789214","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.28781637708885005","0.7095176886375855","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.12750069405869388","0.7412351174069101","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.326458959883832","0.15709210580071795","[1.0, 1.0, 0.0]","[0.0, 0.0, 1.0]"
"0.20103263723747664","0.7502412076724755","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.2945377041946025","0.8858204771570285","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.18028406680991152","0.686895484205105","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.8134933808236233","0.7475853880680999","[1.0, 1.0, 0.0]","[1.0, 0.0, 0.0]"
"0.17414474512232336","0.8661657020556359","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.08500785753845018","0.673933268994154","[1.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.8190066656027559","0.6449223466929175","[1.0, 1.0, 0.0]","[1.0, 0.0, 0.0]"
"0.34534662703687485","0.3071788564559516","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.20169724330887","0.8063978123930123","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.4043826446592388","0.08630277196805108","[1.0, 1.0, 0.0]","[0.0, 0.0, 1.0]"
"0.29052627750711035","0.7354677435477855","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.10941561606269727","0.8083928244824332","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.12700338785784926","0.6505317318106066","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.7784037078655063","0.7367719136704497","[1.0, 1.0, 0.0]","[1.0, 0.0, 0.0]"
"0.2069070513203666","0.8925581637918643","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.7588251359965856","0.6767340632552546","[1.0, 1.0, 0.0]","[1.0, 0.0, 0.0]"
"0.29439041619751105","0.8187711004192346","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.3128768278494557","0.3418162181986818","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.13009275172100535","0.738367956234661","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.26165333458808404","0.23306761821385752","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.2337094014741646","0.6624355283862966","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.24686104080129695","0.7123146709053556","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.23528062058607707","0.03965714976250953","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.8529483394389877","0.7370036261442849","[1.0, 1.0, 0.0]","[1.0, 0.0, 0.0]"
"0.3563600217981174","0.17836365678207172","[1.0, 1.0, 0.0]","[0.0, 0.0, 1.0]"
"0.2801069572061362","0.8076192239848833","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.4482977546212313","0.1207143721013358","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.16265505563806826","0.6845464051461325","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.21312248865105066","0.6801045470586476","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.3614258962691614","0.0","[1.0, 1.0, 0.0]","[0.0, 0.0, 1.0]"
"0.1919429673163767","0.7647951798381297","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.18732173407463407","0.7144995133218438","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.22058880922352517","0.7188966115919277","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.31457099242911374","0.6509860448485776","[1.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.21509219842867947","0.8272410438558239","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.2623608186674057","0.5461469345159016","[1.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.2534120956938197","0.7125452048374233","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.35445008341720946","0.28430041218186264","[1.0, 1.0, 0.0]","[0.0, 0.0, 1.0]"
"0.1685206274228454","0.5936748104265902","[1.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.2153597268896094","0.7886386283862318","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.24750306576920725","0.24792219168005192","[1.0, 1.0, 0.0]","[0.0, 0.0, 1.0]"
"0.37630016257792487","0.19091814137342547","[1.0, 1.0, 0.0]","[0.0, 0.0, 1.0]"
"0.09402926174221934","0.6218128071489891","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.33895412565569655","0.10126512892461127","[1.0, 1.0, 0.0]","[0.0, 0.0, 1.0]"
"0.45519545382981635","0.3312221036542055","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.3788539408218198","0.1696531210170872","[1.0, 1.0, 0.0]","[0.0, 0.0, 1.0]"
"0.15185630278291845","0.7923100342214141","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.2133021289497446","0.7055281535508551","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.3654382663375303","0.5802955707617633","[1.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.27604027313517815","0.18484718018911708","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.21279844616804228","0.7121424430191484","[1.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.7198734072408673","0.7211793876554957","[1.0, 1.0, 0.0]","[1.0, 0.0, 0.0]"
"0.2062711588986431","0.553321515509608","[1.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
