"X","Y","color"
"0.4867567830766719","0.6508604664026207","[0.0, 0.0]","[1.0, 0.0]"
"0.21264141227784736","0.46117891707808023","[0.0, 0.0]","[0.0, 1.0]"
"0.477194356562771","0.3325725273026512","[0.0, 0.0]","[1.0, 0.0]"
"0.264789878227467","0.6298640577249862","[0.0, 0.0]","[0.0, 1.0]"
"0.288863500267922","0.7469063911304759","[0.0, 0.0]","[1.0, 0.0]"
"0.2946508674388656","0.11365396563680182","[0.0, 0.0]","[0.0, 1.0]"
"0.29235234138684063","0.4285066644703662","[0.0, 0.0]","[0.0, 1.0]"
"0.39212428525550386","0.5068763748225951","[0.0, 0.0]","[1.0, 0.0]"
"0.25608728335037806","0.2868604995070037","[0.0, 0.0]","[0.0, 1.0]"
"0.648655546254661","0.6365051111767234","[1.0, 0.0]","[1.0, 0.0]"
"0.5017706106860592","0.2241223956991207","[0.0, 0.0]","[1.0, 0.0]"
"0.22073880910680596","0.5374871331984281","[0.0, 0.0]","[0.0, 1.0]"
"0.8014396755814595","0.2847790212877562","[0.0, 0.0]","[0.0, 1.0]"
"0.17930368737191768","0.5676750240857995","[0.0, 0.0]","[0.0, 1.0]"
"0.47753547813865904","0.48171499239145876","[0.0, 0.0]","[1.0, 0.0]"
"0.2665198257085215","0.6185618870589316","[0.0, 0.0]","[1.0, 0.0]"
"0.5075238562431608","0.7561805337472528","[1.0, 0.0]","[1.0, 0.0]"
"0.3340546502798264","0.26872551963953745","[0.0, 0.0]","[0.0, 1.0]"
"0.282623435995365","0.29506560280372945","[0.0, 0.0]","[0.0, 1.0]"
"0.487653728820733","0.440631118632389","[0.0, 0.0]","[1.0, 0.0]"
"0.27960139038167875","0.38776401062060156","[0.0, 0.0]","[0.0, 1.0]"
"0.428805333615379","0.5181558781047665","[0.0, 0.0]","[1.0, 0.0]"
"0.2335807308445652","0.25442684477748334","[0.0, 0.0]","[0.0, 1.0]"
"0.15280271117590483","0.4263609692063122","[0.0, 0.0]","[0.0, 1.0]"
"0.05990683091070576","0.6131178757826087","[0.0, 0.0]","[0.0, 1.0]"
"0.5749107006889623","0.6582076273549533","[1.0, 0.0]","[1.0, 0.0]"
"0.1659002467207404","0.4579095847091546","[0.0, 0.0]","[0.0, 1.0]"
"0.505558291889027","0.1875487275461081","[0.0, 0.0]","[0.0, 1.0]"
"0.5140089014983961","0.5078253097035192","[0.0, 0.0]","[1.0, 0.0]"
"0.3841479175178378","0.7167999947380598","[0.0, 0.0]","[1.0, 0.0]"
"0.3803563901794489","0.3400270255038858","[0.0, 0.0]","[0.0, 1.0]"
"0.561265542422125","0.645546955489587","[1.0, 0.0]","[0.0, 1.0]"
"0.5922280317132003","0.5024125666578642","[0.0, 0.0]","[1.0, 0.0]"
"0.33951443693332484","0.6331699912184804","[0.0, 0.0]","[0.0, 1.0]"
"0.31398416137834456","0.7187401725207038","[0.0, 0.0]","[1.0, 0.0]"
"0.515730202243093","0.6921617275373749","[1.0, 0.0]","[1.0, 0.0]"
"0.6086324479704363","0.4182157372386555","[0.0, 0.0]","[0.0, 1.0]"
"0.6661898886204902","0.48647487788999066","[0.0, 0.0]","[1.0, 0.0]"
"0.5260236569237315","0.34470260891488996","[0.0, 0.0]","[0.0, 1.0]"
"0.3078764108389575","0.5905014874968996","[0.0, 0.0]","[0.0, 1.0]"
"0.12216758194519348","0.5786849670555565","[0.0, 0.0]","[0.0, 1.0]"
"0.7706881055754924","0.5164989332860552","[1.0, 0.0]","[1.0, 0.0]"
"0.13390463263061267","0.5383742713977928","[0.0, 0.0]","[0.0, 1.0]"
"0.6926767975162423","0.2056834368311564","[0.0, 0.0]","[0.0, 1.0]"
"0.636105626996578","0.4561260640260208","[0.0, 0.0]","[1.0, 0.0]"
"0.38642287510241896","0.4642925442880732","[0.0, 0.0]","[1.0, 0.0]"
"0.7294036740190614","0.2773853016266685","[0.0, 0.0]","[0.0, 1.0]"
"0.5457150902767139","0.6677054963624923","[1.0, 0.0]","[1.0, 0.0]"
"0.6003799065067179","0.3759546546158338","[0.0, 0.0]","[0.0, 1.0]"
"0.28721599193432623","0.5051930052263548","[0.0, 0.0]","[1.0, 0.0]"
