"X","Y","color"
"0.4377784020547975","0.5254469926182004","[0.0, 1.0]","[0.0, 1.0]"
"0.4969414532297996","0.5844094486206569","[0.0, 1.0]","[1.0, 0.0]"
"0.24209466892379655","0.5109753016825255","[0.0, 1.0]","[0.0, 1.0]"
"0.32158223587478507","0.5594696112922954","[0.0, 1.0]","[0.0, 1.0]"
"0.5735591861604626","0.7294694062364433","[1.0, 0.0]","[1.0, 0.0]"
"0.41866404970149085","0.40616880586849585","[0.0, 1.0]","[1.0, 0.0]"
"0.5998760246701628","0.5436312752888356","[0.0, 1.0]","[1.0, 0.0]"
"0.5254663800392723","0.3693674630493014","[0.0, 1.0]","[0.0, 1.0]"
"0.6024450391822429","0.6081905044507536","[1.0, 0.0]","[1.0, 0.0]"
"0.32588614101749547","0.5304831212483645","[0.0, 1.0]","[0.0, 1.0]"
"0.4887695696223475","0.5627311426542417","[0.0, 1.0]","[1.0, 0.0]"
"0.7190547064916233","0.6270716323125477","[1.0, 0.0]","[1.0, 0.0]"
"0.5565633207092578","0.582451589645657","[0.0, 1.0]","[1.0, 0.0]"
"0.4216000965599456","0.7620517949924273","[0.0, 1.0]","[1.0, 0.0]"
"0.4753167663249783","0.6497984512275553","[0.0, 1.0]","[0.0, 1.0]"
"0.3157739386062708","0.5448287014578995","[0.0, 1.0]","[0.0, 1.0]"
"0.3614052468835691","0.3669778203645006","[0.0, 1.0]","[0.0, 1.0]"
"0.5164660230212895","0.4693972715767275","[0.0, 1.0]","[1.0, 0.0]"
"0.6628960725284869","0.8896359848018042","[1.0, 0.0]","[1.0, 0.0]"
"0.42873491056153","0.7157989282373779","[0.0, 1.0]","[1.0, 0.0]"
"0.6488277775366015","0.6332137531421329","[1.0, 0.0]","[0.0, 1.0]"
"0.2798015992576142","0.5112415038160952","[0.0, 1.0]","[0.0, 1.0]"
"0.5638560957035773","0.7004245311779642","[1.0, 0.0]","[1.0, 0.0]"
"0.43902891220327167","0.6102138869370854","[0.0, 1.0]","[1.0, 0.0]"
"0.6840357967225911","0.6815661195895368","[1.0, 0.0]","[1.0, 0.0]"
"0.3425123843208555","0.5049132699161359","[0.0, 1.0]","[0.0, 1.0]"
"0.61751054941991","0.6254268513152836","[1.0, 0.0]","[0.0, 1.0]"
"0.5094433558772588","0.392456683080731","[0.0, 1.0]","[1.0, 0.0]"
"0.6550067949587072","0.47017853920997893","[0.0, 1.0]","[1.0, 0.0]"
"0.598290540066768","0.4884381949243143","[0.0, 1.0]","[0.0, 1.0]"
"0.6061436420964024","0.5832019881184778","[0.0, 1.0]","[1.0, 0.0]"
"0.22409375560853811","0.4460758605471663","[0.0, 1.0]","[0.0, 1.0]"
"0.41133101258698235","0.6532138793077197","[0.0, 1.0]","[0.0, 1.0]"
"0.4855548728974496","0.8894614743971989","[1.0, 0.0]","[1.0, 0.0]"
"0.6280655368813591","0.7489100936313107","[1.0, 0.0]","[1.0, 0.0]"
"0.5059960680899048","0.6128733189467384","[0.0, 1.0]","[0.0, 1.0]"
"0.41733208556684337","0.4883418489260355","[0.0, 1.0]","[0.0, 1.0]"
"0.6690643286464073","0.869548184866177","[1.0, 0.0]","[1.0, 0.0]"
"0.5090073733920328","0.6524336662355701","[0.0, 1.0]","[1.0, 0.0]"
"0.4856932512108117","0.5308358817535626","[0.0, 1.0]","[0.0, 1.0]"
"0.5752736586230719","0.6889899732109206","[1.0, 0.0]","[1.0, 0.0]"
"0.620395979178548","0.49313823157179415","[0.0, 1.0]","[0.0, 1.0]"
"0.7165168695532657","0.6181758164913351","[1.0, 0.0]","[1.0, 0.0]"
"0.37399801872319133","0.5919507884949751","[0.0, 1.0]","[1.0, 0.0]"
"0.40054208324410956","0.4166143466306577","[0.0, 1.0]","[0.0, 1.0]"
"0.38980893351704454","0.6849137741274277","[0.0, 1.0]","[1.0, 0.0]"
"0.5329766276775713","0.3987802529451128","[0.0, 1.0]","[0.0, 1.0]"
"0.6370110635853538","0.7624638049964463","[1.0, 0.0]","[1.0, 0.0]"
"0.3929492054631061","0.7190829980197468","[0.0, 1.0]","[1.0, 0.0]"
"0.4295199723720128","0.5340651163050469","[0.0, 1.0]","[0.0, 1.0]"
"0.41009632243526956","0.486459436869553","[0.0, 1.0]","[0.0, 1.0]"
"0.4136812488262111","0.5392112964381048","[0.0, 1.0]","[0.0, 1.0]"
"0.614219810988699","0.434812765764505","[0.0, 1.0]","[1.0, 0.0]"
"0.5152670540293112","0.4297446006696052","[0.0, 1.0]","[1.0, 0.0]"
"0.46752132521015827","0.875904699534757","[1.0, 0.0]","[1.0, 0.0]"
"0.594718804942935","0.8017463524380433","[1.0, 0.0]","[1.0, 0.0]"
"0.5205667044684306","0.7197375981264745","[1.0, 0.0]","[1.0, 0.0]"
"0.3509517297241775","0.7232816945101977","[0.0, 1.0]","[1.0, 0.0]"
"0.8042183300411783","0.5956525981643537","[1.0, 0.0]","[1.0, 0.0]"
"0.63252752443589","0.6828569875036161","[1.0, 0.0]","[1.0, 0.0]"
"0.4435147790753921","0.7528195591411332","[0.0, 1.0]","[0.0, 1.0]"
"0.4905758149105203","0.6464875114244168","[0.0, 1.0]","[1.0, 0.0]"
