"X","Y","color"
"0.5074788545968361","0.5084496603852017","[0.1292995746033782, 0.0, 1.0]","[0.0, 1.0, 0.0]"
"0.2561416384304966","0.17528073464769098","[0.1292995746033782, 0.0, 1.0]","[0.0, 0.0, 1.0]"
"0.8370453728611904","0.5360174268588778","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.5132624579804148","0.19422789473958324","[0.1292995746033782, 0.0, 1.0]","[0.0, 0.0, 1.0]"
"0.654482878620767","0.5043257472525531","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.2933647817706715","0.7480616249372124","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
"0.38500648786783526","0.25808527244667245","[0.1292995746033782, 0.0, 1.0]","[0.0, 0.0, 1.0]"
"1.0","0.46429761286841076","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.46095141477937424","0.3091136672230674","[0.1292995746033782, 0.0, 1.0]","[0.0, 0.0, 1.0]"
"0.6964835807685169","0.47660715419034017","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.31659688296838856","0.6757312430338082","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
"0.8517897692127294","0.5932267350204449","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.6536138233311733","0.8952804743074468","[0.1447574587383102, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.21319365482331593","0.6935148093312586","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
"0.45265699066166226","0.23232045253977854","[0.1292995746033782, 0.0, 1.0]","[0.0, 0.0, 1.0]"
"0.4580931914981301","0.4067068781272941","[0.1292995746033782, 0.0, 1.0]","[0.0, 0.0, 1.0]"
"0.16448341727388535","0.5147699160656343","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
"0.2694914754451963","0.3333820891571884","[0.1292995746033782, 0.0, 1.0]","[0.0, 0.0, 1.0]"
"0.2847351108924348","0.2612653001309134","[0.1292995746033782, 0.0, 1.0]","[0.0, 0.0, 1.0]"
"0.2781909332896517","0.6075559436123618","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
"0.692452788529837","0.34993911997039273","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.39761458958944157","0.22750705013202352","[0.1292995746033782, 0.0, 1.0]","[0.0, 0.0, 1.0]"
"0.8271395592816375","0.5487154498482175","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.7533274384822014","0.3790529579888849","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.5910755401275009","0.47978108925120444","[0.1292995746033782, 0.0, 1.0]","[0.0, 1.0, 0.0]"
"0.2620639384874036","0.26010790385730614","[0.1292995746033782, 0.0, 1.0]","[0.0, 0.0, 1.0]"
"0.2625595673484495","0.6775152699578958","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
"0.5571566751177722","0.6257387558695133","[1.0, 0.0, 0.0]","[0.0, 1.0, 0.0]"
"0.20067577769714812","0.719200728059477","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
"0.4366461112738081","0.6120993993047982","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
"0.2065274072644764","0.2631484035239697","[0.1292995746033782, 0.0, 1.0]","[0.0, 0.0, 1.0]"
"0.31078221267610584","0.6885614319316399","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
"0.222412803793664","0.5968988060678951","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
"0.38989424628237845","0.09083704356412987","[0.1292995746033782, 0.0, 1.0]","[0.0, 0.0, 1.0]"
"0.36601972532893806","0.680848104609171","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
"0.8312840415845909","0.510559560167043","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.24236716265630723","0.09777173038202351","[0.1292995746033782, 0.0, 1.0]","[0.0, 0.0, 1.0]"
"0.4732394611689145","0.22648817460655382","[0.1292995746033782, 0.0, 1.0]","[0.0, 0.0, 1.0]"
"0.45624004288367176","0.1977466960417937","[0.1292995746033782, 0.0, 1.0]","[0.0, 0.0, 1.0]"
"0.16886502269835948","0.7962506043200229","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
"0.6947041731058136","0.5730686035544962","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.5761192675919269","0.4677641935890036","[0.1292995746033782, 0.0, 1.0]","[0.0, 1.0, 0.0]"
"0.8461292515364587","0.4891122738307711","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.7046168937399364","0.6236028728895615","[0.1447574587383102, 1.0, 0.0]","[0.0, 1.0, 0.0]"
