"X","Y","color"
"0.4834980479415883","0.40942910486333556","[0.0, 0.0]","[0.0, 1.0]"
"0.6380232738064884","0.41423462442138465","[0.0, 0.0]","[1.0, 0.0]"
"0.6523374144276707","0.7815509657099705","[1.0, 0.0]","[1.0, 0.0]"
"0.3931141236345215","0.3925633072611062","[0.0, 0.0]","[1.0, 0.0]"
"0.5431881901230564","0.36289124277772133","[0.0, 0.0]","[0.0, 1.0]"
"0.2355810360710207","0.4901328767826255","[0.0, 0.0]","[0.0, 1.0]"
"0.459578883628148","0.2968686331903212","[0.0, 0.0]","[0.0, 1.0]"
"0.6055483917081025","0.43188827446263894","[0.0, 0.0]","[0.0, 1.0]"
"0.8252006656785218","0.488180097376895","[1.0, 0.0]","[1.0, 0.0]"
"0.6385183584699924","0.7125371238567308","[1.0, 0.0]","[1.0, 0.0]"
"0.5613686369084268","0.48182191975794353","[0.0, 0.0]","[0.0, 1.0]"
"0.25437237002355356","0.69030857059935","[0.0, 0.0]","[0.0, 1.0]"
"0.4128996227715988","0.47020192816769046","[0.0, 0.0]","[0.0, 1.0]"
"0.4834156086274978","0.6570758145654338","[0.0, 0.0]","[1.0, 0.0]"
"0.561857861946693","0.7468569342497303","[1.0, 0.0]","[0.0, 1.0]"
"0.6322847283741492","0.44181609691270185","[0.0, 0.0]","[1.0, 0.0]"
"0.5366298672685633","0.7042244510302981","[1.0, 0.0]","[1.0, 0.0]"
"0.5501305723390637","0.4193389864095348","[0.0, 0.0]","[1.0, 0.0]"
"0.6190040869982814","0.7488907360267084","[1.0, 0.0]","[1.0, 0.0]"
"0.4638417841738635","0.6450953604064252","[0.0, 0.0]","[0.0, 1.0]"
"0.5264382509081384","0.29276594993005545","[0.0, 0.0]","[1.0, 0.0]"
"0.5025363600448032","0.6642192078522823","[1.0, 0.0]","[1.0, 0.0]"
"0.5076442098128777","0.629457306686668","[0.0, 0.0]","[1.0, 0.0]"
"0.32506218649089114","0.27000221438470134","[0.0, 0.0]","[0.0, 1.0]"
"0.2740534218001278","0.2999013492589794","[0.0, 0.0]","[0.0, 1.0]"
"0.3861013949373576","0.41490442811458805","[0.0, 0.0]","[0.0, 1.0]"
"0.5937328995144749","0.5766583937556042","[1.0, 0.0]","[1.0, 0.0]"
"0.5472034670297146","0.3917047403602659","[0.0, 0.0]","[1.0, 0.0]"
"0.48195385295261156","0.5247803178620682","[0.0, 0.0]","[0.0, 1.0]"
"0.35408320592607034","0.44925531898942567","[0.0, 0.0]","[0.0, 1.0]"
"0.5003103582085154","0.5465832113686786","[0.0, 0.0]","[1.0, 0.0]"
"0.4495172698074245","0.5854660179744926","[0.0, 0.0]","[1.0, 0.0]"
"0.6952922027691548","0.5124878647117755","[1.0, 0.0]","[1.0, 0.0]"
"0.26388360144188566","0.4778088203995645","[0.0, 0.0]","[0.0, 1.0]"
"0.36952506742741115","0.5682210246102012","[0.0, 0.0]","[0.0, 1.0]"
"0.5553947348390932","0.6214885023466945","[1.0, 0.0]","[1.0, 0.0]"
"0.6593464084766577","0.4159031252261625","[0.0, 0.0]","[1.0, 0.0]"
"0.6798866536869868","0.7364559845503192","[1.0, 0.0]","[1.0, 0.0]"
"0.4011761801262418","0.2863748953964939","[0.0, 0.0]","[0.0, 1.0]"
"0.35274629101800714","0.5755954119827914","[0.0, 0.0]","[1.0, 0.0]"
"0.6057906119835297","0.32112757521872914","[0.0, 0.0]","[0.0, 1.0]"
"0.6636008833776671","0.5413435308569841","[1.0, 0.0]","[1.0, 0.0]"
"0.7158785963672142","0.7327016524392338","[1.0, 0.0]","[1.0, 0.0]"
"0.4692737080687932","0.3523989677947357","[0.0, 0.0]","[0.0, 1.0]"
"0.5852228662491283","0.6132885239791979","[1.0, 0.0]","[1.0, 0.0]"
"0.9169404151579403","0.49289339262331155","[1.0, 0.0]","[1.0, 0.0]"
"0.6340621924596272","0.5277628784500917","[0.0, 0.0]","[1.0, 0.0]"
"0.6754169212173742","0.5466128279777732","[1.0, 0.0]","[1.0, 0.0]"
"0.5342406029873428","0.504947154725465","[0.0, 0.0]","[0.0, 1.0]"
"0.5032135254994484","0.4302017308781198","[0.0, 0.0]","[0.0, 1.0]"
"0.20614267466226352","0.3093780185066791","[0.0, 0.0]","[0.0, 1.0]"
"0.4219588167499727","0.3593148516718302","[0.0, 0.0]","[0.0, 1.0]"
"0.4854341682739232","0.15941687134323296","[0.0, 0.0]","[0.0, 1.0]"
"0.7620177288606492","0.36525168535243063","[0.0, 0.0]","[1.0, 0.0]"
"0.47772859091372394","0.26363363554705793","[0.0, 0.0]","[0.0, 1.0]"
"0.5103495762660086","0.38757511761547436","[0.0, 0.0]","[1.0, 0.0]"
"0.3859904232654119","0.3747837188181865","[0.0, 0.0]","[0.0, 1.0]"
"0.38303416290736786","0.45737976931475155","[0.0, 0.0]","[0.0, 1.0]"
"0.17193509831458","0.3995758799289048","[0.0, 0.0]","[0.0, 1.0]"
"0.7005205813221699","0.5012591577840777","[1.0, 0.0]","[1.0, 0.0]"
"0.395245819168065","0.7860306479794565","[1.0, 0.0]","[1.0, 0.0]"
"0.5984521854707178","0.7278744826234647","[1.0, 0.0]","[1.0, 0.0]"
"0.5979738352604351","0.4182416443106257","[0.0, 0.0]","[0.0, 1.0]"
"0.45065556853647454","0.5664881514262042","[0.0, 0.0]","[0.0, 1.0]"
"0.4556136161288365","0.24346107592551683","[0.0, 0.0]","[0.0, 1.0]"
"0.5330247249974965","0.849242652679177","[1.0, 0.0]","[1.0, 0.0]"
"0.8131391771058286","0.6189331505925807","[1.0, 0.0]","[1.0, 0.0]"
"0.4350719727827064","0.328538399780917","[0.0, 0.0]","[0.0, 1.0]"
"0.5540246956926238","0.6582809965158619","[1.0, 0.0]","[1.0, 0.0]"
"0.3210308925906682","0.3547215795949156","[0.0, 0.0]","[1.0, 0.0]"
"0.6167339825230674","0.9185789352605226","[1.0, 0.0]","[1.0, 0.0]"
"0.6994340947992692","0.36815790722490666","[0.0, 0.0]","[0.0, 1.0]"
"0.5874038594321194","0.7975634883373697","[1.0, 0.0]","[1.0, 0.0]"
"0.3815795257476019","0.11951960053791676","[0.0, 0.0]","[0.0, 1.0]"
"0.6223870307638865","0.5764106426286159","[1.0, 0.0]","[1.0, 0.0]"
"0.43741787244510305","0.5067319643753229","[0.0, 0.0]","[0.0, 1.0]"
"0.4355891271362959","0.380040487296759","[0.0, 0.0]","[0.0, 1.0]"
"0.2811660296515287","0.4278327758417415","[0.0, 0.0]","[0.0, 1.0]"
"0.11763267370420794","0.315253404211228","[0.0, 0.0]","[0.0, 1.0]"
"0.5753839138712644","0.5572295180349416","[0.0, 0.0]","[0.0, 1.0]"
"0.3862587852034567","0.22818023850989133","[0.0, 0.0]","[0.0, 1.0]"
"0.3859427129557351","0.826327751325806","[1.0, 0.0]","[1.0, 0.0]"
"0.785988101887788","0.41757970913263914","[1.0, 0.0]","[1.0, 0.0]"
"0.4826287773485646","0.37689496730555755","[0.0, 0.0]","[0.0, 1.0]"
"0.6466519804676699","0.5178139846243902","[1.0, 0.0]","[1.0, 0.0]"
"0.6355701283535327","0.3293843440657559","[0.0, 0.0]","[0.0, 1.0]"
"0.5506136517837912","0.3918866379256543","[0.0, 0.0]","[0.0, 1.0]"
"0.4931785903241719","0.4400685832162681","[0.0, 0.0]","[0.0, 1.0]"
"0.3209463437259486","0.4482337418869752","[0.0, 0.0]","[0.0, 1.0]"
"0.5340221517522403","0.3013314628617446","[0.0, 0.0]","[0.0, 1.0]"
"0.517605131780059","0.446951521510221","[0.0, 0.0]","[0.0, 1.0]"
"0.6144496267128345","0.4192070951801796","[0.0, 0.0]","[1.0, 0.0]"
"0.3970340297124322","0.26501265731679563","[0.0, 0.0]","[0.0, 1.0]"
"0.3766524377735594","0.31116484772167685","[0.0, 0.0]","[0.0, 1.0]"
"0.5045589588774679","0.462312978620652","[0.0, 0.0]","[0.0, 1.0]"
"0.34876743710066627","0.6447703062569663","[0.0, 0.0]","[0.0, 1.0]"
"0.6146123240350152","0.6326972689483326","[1.0, 0.0]","[1.0, 0.0]"
"0.5304173413347603","0.3541630689391743","[0.0, 0.0]","[0.0, 1.0]"
"0.4536667847829944","0.3863556662303489","[0.0, 0.0]","[0.0, 1.0]"
"0.804792914532334","0.6322340447135626","[1.0, 0.0]","[1.0, 0.0]"
"0.4302151134051329","0.6803992542783448","[0.0, 0.0]","[1.0, 0.0]"
"0.5886265612665776","0.47057928110531827","[0.0, 0.0]","[0.0, 1.0]"
"0.6204717643735558","0.5546037236909053","[1.0, 0.0]","[0.0, 1.0]"
"0.6481604859756346","0.6158923459752783","[1.0, 0.0]","[1.0, 0.0]"
"0.4705178699437694","0.4715706467445408","[0.0, 0.0]","[0.0, 1.0]"
"0.5306150491750264","0.5331436582372995","[0.0, 0.0]","[0.0, 1.0]"
"0.7301223664617337","0.8623995060526207","[1.0, 0.0]","[1.0, 0.0]"
"0.44590214854640653","0.44250734495175037","[0.0, 0.0]","[0.0, 1.0]"
"0.4044491617113411","0.5513665119052934","[0.0, 0.0]","[1.0, 0.0]"
"0.35312040245157045","0.49644332331270935","[0.0, 0.0]","[0.0, 1.0]"
"0.774605625553288","0.6443774269572159","[1.0, 0.0]","[1.0, 0.0]"
"0.765356588315362","0.7210673233469437","[1.0, 0.0]","[1.0, 0.0]"
"0.6240398686859592","0.4548549389304632","[0.0, 0.0]","[0.0, 1.0]"
"0.5318209709112008","0.6621842653816753","[1.0, 0.0]","[1.0, 0.0]"
"0.5846060665060336","0.5366510685659543","[0.0, 0.0]","[1.0, 0.0]"
"0.706417425015075","0.6208919172380123","[1.0, 0.0]","[1.0, 0.0]"
"0.21613320110999545","0.6668445777753694","[0.0, 0.0]","[0.0, 1.0]"
"0.3656163736633365","0.36603637241556997","[0.0, 0.0]","[0.0, 1.0]"
"0.4108530978928988","0.27601546152184203","[0.0, 0.0]","[1.0, 0.0]"
