"X","Y","color"
"0.6175516784881945","0.8341403424730385","[1.0, 0.0]","[1.0, 0.0]"
"0.2844787464569491","0.11229833609196443","[0.0, 1.0]","[0.0, 1.0]"
"0.2631832027119094","0.32481733725063755","[0.0, 1.0]","[0.0, 1.0]"
"0.5545693629367715","0.7935469390006102","[1.0, 0.0]","[1.0, 0.0]"
"0.808380194359886","0.8039677534782124","[1.0, 0.0]","[1.0, 0.0]"
"0.7727409295175556","0.7746545529818244","[1.0, 0.0]","[1.0, 0.0]"
"0.32443389704202513","0.17883615505484357","[0.0, 1.0]","[0.0, 1.0]"
"0.3611634459761819","0.29860278034456417","[0.0, 1.0]","[0.0, 1.0]"
"0.24897741672085505","0.2409603478389616","[0.0, 1.0]","[0.0, 1.0]"
"0.71765271633072","0.6198482881838261","[1.0, 0.0]","[1.0, 0.0]"
"0.3246664646508035","0.2261483697943969","[0.0, 1.0]","[0.0, 1.0]"
"0.8901547840477636","0.7583637492543931","[1.0, 0.0]","[1.0, 0.0]"
"0.7948291770946407","0.7741099381721575","[1.0, 0.0]","[1.0, 0.0]"
"0.3428828277568206","0.32466425064177695","[0.0, 1.0]","[0.0, 1.0]"
"0.2342249918351292","0.300694962905212","[0.0, 1.0]","[0.0, 1.0]"
"0.6593980732832625","0.7880304253818542","[1.0, 0.0]","[1.0, 0.0]"
"0.7092475076634152","0.6865908658358879","[1.0, 0.0]","[1.0, 0.0]"
"0.40655505731376546","0.15857618712535798","[0.0, 1.0]","[0.0, 1.0]"
"0.7161657693240621","0.6243822647791979","[1.0, 0.0]","[1.0, 0.0]"
"0.3688716818757109","0.3993645126254001","[0.0, 1.0]","[0.0, 1.0]"
"0.20063322705507336","0.2704403873585195","[0.0, 1.0]","[0.0, 1.0]"
"0.8088670437272356","0.7604179414178999","[1.0, 0.0]","[1.0, 0.0]"
"0.44838456166800816","0.2800255805574256","[0.0, 1.0]","[0.0, 1.0]"
"0.6306262687352608","0.6548594763242518","[1.0, 0.0]","[1.0, 0.0]"
"0.6016959338384623","0.8042254031266222","[1.0, 0.0]","[1.0, 0.0]"
"0.28635445302918466","0.37060761938914444","[0.0, 1.0]","[0.0, 1.0]"
"0.22815294703373695","0.18322336112925464","[0.0, 1.0]","[0.0, 1.0]"
"0.8503237405842761","0.6316145595711733","[1.0, 0.0]","[1.0, 0.0]"
"0.2574939752326414","0.34019225026916255","[0.0, 1.0]","[0.0, 1.0]"
"0.8535235125916211","0.7976156012139756","[1.0, 0.0]","[1.0, 0.0]"
"0.21197946419874925","0.4167616233236174","[0.0, 1.0]","[0.0, 1.0]"
"0.30321977117768156","0.3179456786898416","[0.0, 1.0]","[0.0, 1.0]"
"0.5564048211446074","0.5616826317603874","[0.0, 1.0]","[1.0, 0.0]"
"0.3033329125606603","0.2105796603532178","[0.0, 1.0]","[0.0, 1.0]"
"0.6790212455595276","0.6098925566334137","[1.0, 0.0]","[1.0, 0.0]"
"0.3327628400755215","0.2947405386473514","[0.0, 1.0]","[0.0, 1.0]"
"0.40015844478059875","0.4040287786105319","[0.0, 1.0]","[0.0, 1.0]"
"0.3749340667795374","0.29368843008032025","[0.0, 1.0]","[0.0, 1.0]"
"0.7348113632478817","0.7483241427771227","[1.0, 0.0]","[1.0, 0.0]"
"0.7560789386328516","0.8016185271491301","[1.0, 0.0]","[1.0, 0.0]"
"0.7828201081540468","0.7839276257729255","[1.0, 0.0]","[1.0, 0.0]"
"0.29229285956714424","0.19493673129441855","[0.0, 1.0]","[0.0, 1.0]"
"0.19965741668724207","0.4347488688411729","[0.0, 1.0]","[0.0, 1.0]"
"0.27338380926165917","0.23939416843911007","[0.0, 1.0]","[0.0, 1.0]"
"0.8961086063215392","0.6330368145113626","[1.0, 0.0]","[1.0, 0.0]"
"0.7208546898729935","0.6553400060221334","[1.0, 0.0]","[1.0, 0.0]"
"0.7594939745941343","0.7813140245756454","[1.0, 0.0]","[1.0, 0.0]"
"0.2516029373787417","0.3912101772786771","[0.0, 1.0]","[0.0, 1.0]"
"0.3816285321228786","0.31619916337101145","[0.0, 1.0]","[0.0, 1.0]"
"0.724752324441249","0.6132162766677426","[1.0, 0.0]","[1.0, 0.0]"
"0.7465105445885967","0.761818508873526","[1.0, 0.0]","[1.0, 0.0]"
"0.2615816708676144","0.22025459709639472","[0.0, 1.0]","[0.0, 1.0]"
"0.7741292124157025","0.7148431032916438","[1.0, 0.0]","[1.0, 0.0]"
"0.2594677552715632","0.3835306613654127","[0.0, 1.0]","[0.0, 1.0]"
"0.6663951416029742","0.7250634750457432","[1.0, 0.0]","[1.0, 0.0]"
"0.36998770856002394","0.27103655833905876","[0.0, 1.0]","[0.0, 1.0]"
"0.6718636963181585","0.6620314861886535","[1.0, 0.0]","[1.0, 0.0]"
"0.19662793354256075","0.29369509240309405","[0.0, 1.0]","[0.0, 1.0]"
"0.3341121738928521","0.245026101185675","[0.0, 1.0]","[0.0, 1.0]"
"0.7829490200864829","0.7521006095464061","[1.0, 0.0]","[1.0, 0.0]"
"0.35027820706085955","0.44759708421283306","[0.0, 1.0]","[0.0, 1.0]"
"0.8987294545763356","0.83400305005864","[1.0, 0.0]","[1.0, 0.0]"
"0.41155252754581517","0.30439841297786663","[0.0, 1.0]","[0.0, 1.0]"
"0.3756960257261667","0.28717088441253297","[0.0, 1.0]","[0.0, 1.0]"
"0.8324684116343105","0.7223966934894929","[1.0, 0.0]","[1.0, 0.0]"
