"X","Y","color"
"0.26093345489729664","0.6565023502714018","[0.0, 1.0, 0.0]","[1.0, 0.0, 0.0]"
"0.9253649797078815","0.11053363098858449","[0.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.9101186391116216","0.19964895034222768","[0.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.9212998849531095","0.5987041480721866","[0.0, 1.0, 0.0]","[0.0, 0.0, 1.0]"
"0.9495256306427096","0.5604231882524615","[0.0, 1.0, 0.0]","[0.0, 0.0, 1.0]"
"0.5809092862376877","0.1919138778049086","[0.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.16253657994143916","0.8585020321647094","[0.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.8848067285494327","0.26990990017919936","[0.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.2887989196841766","0.7190162010746166","[0.0, 1.0, 0.0]","[1.0, 0.0, 0.0]"
"0.14754518041211148","0.8404294216661001","[0.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.3915000390950265","0.6863525073437348","[0.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.27822449664982213","0.7305732881327802","[0.0, 1.0, 0.0]","[1.0, 0.0, 0.0]"
"0.4304211148404239","0.7081798820959634","[0.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.8644177726944015","0.0855803266435854","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.4328167785196706","0.6248519625300468","[0.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.09253052391334973","0.5920336305113341","[0.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.8838391424231191","0.1966468677406974","[0.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.26766562114063325","0.7017022612267318","[0.0, 1.0, 0.0]","[1.0, 0.0, 0.0]"
"0.11571642730491258","0.7865609060308512","[0.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.1439972700890553","0.5199769698966461","[0.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.3454160925677442","0.6563351732363844","[0.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.27465402169979586","0.7196311372508503","[0.0, 1.0, 0.0]","[1.0, 0.0, 0.0]"
"0.9483384644846321","0.18897477630479173","[0.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.8895501901134669","0.15870790147446567","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.808105977056042","0.05126590597711413","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.18774778930228408","0.6051138581385966","[0.0, 1.0, 0.0]","[1.0, 0.0, 0.0]"
"0.21837168463136072","0.6892776950921957","[0.0, 1.0, 0.0]","[1.0, 0.0, 0.0]"
"0.03971342093819813","0.5271400040195214","[0.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.06497069052762044","0.6007837745518709","[0.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.6087645743392192","0.20782250721447534","[0.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.08160422971302654","0.5465489099025119","[0.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.8309607673221161","0.05248252294326589","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.9359296250561038","0.5636163089674344","[0.0, 1.0, 0.0]","[0.0, 0.0, 1.0]"
"0.33655001294734516","0.7096231137952487","[0.0, 1.0, 0.0]","[1.0, 0.0, 0.0]"
"0.9120191701672772","0.15771075032509568","[0.0, 1.0, 0.0]","[0.0, 0.0, 0.0]"
"0.30273114234538434","0.6905692636676034","[0.0, 1.0, 0.0]","[1.0, 0.0, 0.0]"
"0.25591956673317384","0.6335182156544132","[0.0, 1.0, 0.0]","[1.0, 0.0, 0.0]"
