"X","Y","color"
"0.764743777842519","0.4731471112189806","[1.0]","[1.0]"
"0.792254613348046","0.40338930578754617","[1.0]","[1.0]"
"0.6068803111628954","0.5571975241790272","[1.0]","[1.0]"
"0.519133478121207","0.2867407092743617","[0.23239298123091076]","[0.0]"
"0.5000543758189064","0.2973179959467926","[0.23239298024955732]","[0.0]"
"0.12429591255424677","0.2307511085570743","[0.23239280540590512]","[0.0]"
"0.4657077813333503","0.4785423153012877","[0.23239463483246472]","[0.0]"
"0.4184897916849331","0.3252764524494139","[0.2323929719445482]","[0.0]"
"0.8909994448861699","0.828022141512636","[1.0]","[1.0]"
"0.36397982640725945","0.2718197454109358","[0.23239294392900958]","[0.0]"
"0.3525862572543789","0.46182715043701894","[0.23239298827832724]","[0.0]"
"0.1659299473884942","0.30438050189771293","[0.23239288493006047]","[0.0]"
"1.0","0.67356163588379","[1.0]","[1.0]"
"0.711443947856122","0.6945706976869515","[1.0]","[1.0]"
"0.47128912175217375","0.219839878895353","[0.2323929554247495]","[0.0]"
"0.7428247156597139","0.7163371252284214","[1.0]","[1.0]"
"0.4403642260229406","0.2730048457469598","[0.23239296334705517]","[0.0]"
"0.5941860886627084","0.17682735550562162","[0.23239297074949491]","[0.0]"
"0.08749935956958982","0.23886140539359926","[0.23239278446211606]","[0.0]"
"0.23309997187826942","0.5495336236807133","[0.23239298662174238]","[0.0]"
"0.29180871052563295","0.31937342074275826","[0.2323929399009826]","[0.0]"
"0.5098862426182024","0.21050115181724915","[0.23239296178233837]","[0.0]"
"0.8003476643801627","0.5362608428808058","[1.0]","[1.0]"
"0.6535184151903959","0.6945702834051152","[1.0]","[1.0]"
"0.3324686234554671","0.4273605573395331","[0.23239297889945362]","[0.0]"
"0.08057192367995424","0.45924489428645804","[0.23239292726515096]","[0.0]"
"0.49828611812709817","0.2638906685339389","[0.23239297280472612]","[0.0]"
"0.6803272799993207","0.5932488209323874","[1.0]","[1.0]"
"0.4730407153346147","0.24455798663922482","[0.232392962867767]","[0.0]"
"0.5443557423100354","1.0","[1.0]","[1.0]"
"0.32570302571657306","0.18093261744264155","[0.2323928889465866]","[0.0]"
"0.5871005389905436","0.4642163331172384","[1.0]","[1.0]"
"0.336900348453445","0.043969794329192756","[0.232392792919284]","[0.0]"
"0.3651044553347401","0.08440593134455497","[0.23239284682661765]","[0.0]"
"0.26074969080949373","0.201962931807077","[0.23239286941236825]","[0.0]"
"0.8871079024450992","0.44362499977587205","[1.0]","[1.0]"
"0.8817834593263687","0.6229951931230165","[1.0]","[1.0]"
"0.3424985202657807","0.39515500178426993","[0.23239297374625256]","[0.0]"
"0.2734732138867217","0.1095441041909892","[0.23239280587910752]","[0.0]"
"0.6590286802573451","0.6494514363675578","[1.0]","[1.0]"
"0.6963493985914725","0.91228389835028","[1.0]","[1.0]"
"0.8562531438753378","0.5263248729097826","[1.0]","[1.0]"
"0.48793848726008154","0.1021145481156222","[0.23239291645920415]","[0.0]"
"0.6235881563965818","0.9231768369167643","[1.0]","[1.0]"
"0.44536324507898317","0.32437500842438327","[0.23239297663101963]","[0.0]"
"0.002307465268671268","0.16215924442534235","[0.23239258452934172]","[0.0]"
"0.8710385449358901","0.7734045986230245","[1.0]","[1.0]"
"0.7043163012837954","0.9854140790109843","[1.0]","[1.0]"
"0.4116758259975486","0.49735293182682594","[0.2323930222204722]","[0.0]"
"0.8465853528496564","0.6231735855772745","[1.0]","[1.0]"
