"X","Y","color"
"0.5469097143438622","0.5373784637815998","[1.0, 1.0]","[1.0, 0.0]"
"0.2801240875283779","0.5449862387218233","[1.0, 1.0]","[0.0, 1.0]"
"0.7526068908334853","0.3011221523415271","[1.0, 1.0]","[0.0, 1.0]"
"0.7325316456125694","0.5249599069152311","[1.0, 0.0]","[1.0, 0.0]"
"0.1035036395416209","0.17728845529082898","[0.0, 1.0]","[1.0, 0.0]"
"0.34704333933034137","0.2848542974130085","[0.0, 1.0]","[0.0, 1.0]"
"0.5218508964378228","0.58867189661477","[1.0, 1.0]","[1.0, 0.0]"
"0.4878707470888767","0.6758634120796545","[1.0, 0.0]","[1.0, 0.0]"
"0.4738377068824349","0.6561960190714373","[1.0, 0.0]","[0.0, 1.0]"
"0.3117040105925489","0.5220919403527718","[1.0, 1.0]","[0.0, 1.0]"
"0.6111842725808099","0.4874457650559207","[1.0, 1.0]","[0.0, 1.0]"
"0.2827656588297786","0.667792196913434","[1.0, 1.0]","[1.0, 0.0]"
"0.2933572062167296","0.6555836987913812","[1.0, 1.0]","[1.0, 0.0]"
"0.623347408936539","0.549490289655829","[1.0, 0.0]","[1.0, 0.0]"
"0.37586133449912207","0.48617352664335717","[1.0, 1.0]","[1.0, 0.0]"
"0.34043086309962045","0.6082049030973753","[1.0, 1.0]","[1.0, 0.0]"
"0.2948257630121807","0.6401238025571037","[1.0, 1.0]","[1.0, 0.0]"
"0.41121807680940226","0.4052325300557742","[1.0, 1.0]","[0.0, 1.0]"
"0.5593818541983959","0.3436933451704461","[1.0, 1.0]","[0.0, 1.0]"
"0.5537257999269466","0.5838534760213394","[1.0, 0.0]","[0.0, 1.0]"
"0.36850493113665006","0.4617841338463282","[1.0, 1.0]","[1.0, 0.0]"
"0.48765341695839876","0.5819088911192074","[1.0, 1.0]","[0.0, 1.0]"
"0.4947084412502282","0.6423064637584585","[1.0, 0.0]","[1.0, 0.0]"
"0.5765846728950502","0.6675496503830186","[1.0, 0.0]","[1.0, 0.0]"
"0.24123591376113002","0.33871057985164055","[0.0, 1.0]","[0.0, 1.0]"
"0.3520584090449943","0.2886841898525126","[0.0, 1.0]","[0.0, 1.0]"
