"X","Y","color"
"0.3425251980794298","0.7695501132449918","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
"0.3334285218752962","0.617109866937545","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
"0.3422680073508817","0.8376737924458798","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
"0.5885247952929771","0.596873095955502","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.144822801082295","0.43064581602453905","[1.0, 0.0, 1.0]","[0.0, 0.0, 1.0]"
"0.23517200683234019","0.7727348984896953","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
"0.3344306374486127","0.9328547360180744","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
"0.31805239976864613","0.8985928213756187","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
"0.8025394579036768","0.7078348500908318","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.27971271478737797","0.2895392407854494","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]"
"0.24628315361105702","0.800029322887768","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
"0.7768623308859064","0.8990914004457571","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.3849369143350883","0.0","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]"
"0.8650099656738551","0.7530017632436157","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.26065587423790715","0.24789117300822547","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]"
"0.8773885233985381","0.6071671657310675","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.9960230728251247","0.916217556539335","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.1476151464157274","0.7237355082644499","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
"0.8266909370446469","0.6583935323737862","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
"0.2600338185677433","0.30147073237261446","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]"
