"X","Y","color"
"0.2383553155761601","0.20254312902547794","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"0.2167204824048133","0.32605676405993345","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"0.2364849423994302","0.2662274960042229","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"0.8535629057760593","0.8250030829783829","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]"
"0.56005521883849","0.36365877801549373","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"0.4299442169427902","0.22873267745748724","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"0.2994657440092425","0.21734430867599086","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"0.732416589140609","0.12459581388958205","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"0.44763026424776786","0.3404717600098559","[0.0, 0.0, 0.0]","[0.0, 1.0, 0.0]"
"0.7558824244977369","0.32285733620568086","[0.27853561950469796, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"0.7263473121992793","0.18982921016011428","[0.33290275271257563, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"0.2457949547455907","0.19103729380574722","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"0.6499106849585395","0.8381843510958579","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]"
"0.7459279473897609","0.3376604772286644","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"0.3267476369241617","0.21048888800164964","[0.0, 0.0, 0.0]","[0.0, 1.0, 0.0]"
"0.8352926729805175","0.48915475274120274","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
"0.46650920367356863","0.5237007369928599","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"0.9214083820547718","0.19960058364526465","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"0.4195588143607928","0.1233476918794545","[0.0, 0.0, 0.0]","[0.0, 1.0, 0.0]"
"0.8384320585985056","0.5041116237167691","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
