"X","Y","color"
"0.2824831920840203","0.2972047919290854","[0.0]","[0.0]"
"0.670637773581285","0.6562800245998691","[1.0]","[1.0]"
"0.3489815938210548","0.511512534077758","[0.0]","[0.0]"
"0.3271475887241953","0.0996170159197725","[0.0]","[0.0]"
"0.33879112392047","0.06773617188315983","[0.0]","[0.0]"
"0.12126595421999822","0.45970496241682246","[0.0]","[0.0]"
"0.43190648671910015","0.23065719619781533","[0.0]","[0.0]"
"0.3518419502648062","0.21322159160100873","[0.0]","[0.0]"
"0.5879740098011952","0.9936069329875923","[1.0]","[1.0]"
"0.6878525391279048","0.5215166271711806","[1.0]","[1.0]"
"0.6744325153557664","0.6019596391535332","[1.0]","[1.0]"
"0.18799402718833738","0.37306813527413163","[0.0]","[0.0]"
"0.6232552819445696","0.822190925586219","[1.0]","[1.0]"
"0.5272383427181403","0.4770135557382553","[0.2860515259733547]","[0.0]"
"0.8447601977052094","0.6671766704514215","[1.0]","[1.0]"
"0.47648647773002584","0.6226737166014835","[1.0]","[1.0]"
"0.29804715705709106","0.518814641633098","[0.0]","[0.0]"
"0.2577431107504942","0.16118677652668945","[0.0]","[0.0]"
"0.761170853252914","0.7064825168557521","[1.0]","[1.0]"
"0.11015085462820913","0.3799027926456176","[0.0]","[0.0]"
"0.18034563430057868","0.4185947703103572","[0.0]","[0.0]"
"0.29476159584833245","0.32487059732452406","[0.0]","[0.0]"
"0.1322592307844987","0.08970480963636657","[0.0]","[0.0]"
"0.5620522909641359","0.7709550479099089","[1.0]","[1.0]"
"0.7610118487223242","0.5840446432344752","[1.0]","[1.0]"
"0.6206462048797552","0.7756185407878511","[1.0]","[1.0]"
"0.44699353901841565","0.49459765636664077","[0.0]","[0.0]"
"0.4913633319967854","0.9311713009262759","[1.0]","[1.0]"
"0.5199884576633208","0.5592195400623216","[1.0]","[1.0]"
"0.7751389919831922","0.6745897708469656","[1.0]","[1.0]"
"0.2687383777518476","0.25971559263655997","[0.0]","[0.0]"
"0.6286590778455812","0.915844658439242","[1.0]","[1.0]"
"0.04619207256117074","0.284692137664013","[0.0]","[0.0]"
"0.01409497640150529","0.4197564636359206","[0.0]","[0.0]"
"0.3866223587511522","0.5788272662014512","[0.13024295275334064]","[0.0]"
"0.045333515984493644","0.23642868884131457","[0.0]","[0.0]"
"0.1571351675194849","0.2289256624577397","[0.0]","[0.0]"
"0.5236437755940251","0.9540235020285344","[1.0]","[1.0]"
"0.33690562131754753","0.22790720100460055","[0.0]","[0.0]"
"0.7485019461298934","0.6954569616048907","[1.0]","[1.0]"
"0.16482764151279256","0.3671437169590651","[0.0]","[0.0]"
"0.5392783920023998","0.5942954511409928","[1.0]","[1.0]"
"0.7563057905880296","0.7319178296255413","[1.0]","[1.0]"
"0.20124270401192496","0.3008849045647986","[0.0]","[0.0]"
"0.5639772332887268","0.8938207745543003","[1.0]","[1.0]"
"0.21655101390656606","0.10520040913029213","[0.0]","[0.0]"
"0.29757382321879766","0.2378455378982058","[0.0]","[0.0]"
"0.34550620281825883","0.37370137349330934","[0.0]","[0.0]"
"0.5020588716910221","0.654749743353125","[1.0]","[1.0]"
"0.3524226235527685","0.25309883260758614","[0.0]","[0.0]"
