"X","Y","color"
"0.728698787759802","0.757384677510843","[1.0]","[1.0]"
"0.7328140219843207","0.7407344829113945","[1.0]","[1.0]"
"0.6782135456250946","0.7615910333005833","[1.0]","[1.0]"
"0.5675808767838367","0.5965426840703633","[1.0]","[1.0]"
"0.16368196172348126","0.28964068648370245","[0.0]","[0.0]"
"0.3189562136070312","0.30331062306954654","[0.0]","[0.0]"
"0.3377002563803378","0.29182303317899017","[0.0]","[0.0]"
"0.24380721425112678","0.28215218630411565","[0.0]","[0.0]"
"0.3834488202598639","0.24363229369649791","[0.0]","[0.0]"
"0.6396115606668117","0.8583421323879054","[1.0]","[1.0]"
"0.357424609036943","0.2679444886419675","[0.0]","[0.0]"
"0.2784431736882888","0.25828596108728424","[0.0]","[0.0]"
"0.6265135554344703","0.7901147161083004","[1.0]","[1.0]"
"0.6254566223814376","0.6908262781051745","[1.0]","[1.0]"
"0.266517139106869","0.24068818585304122","[0.0]","[0.0]"
"0.8081559007690354","0.7299248587987152","[1.0]","[1.0]"
"0.23796217813561418","0.13708112583760637","[0.0]","[0.0]"
"0.33791458346287917","0.2967708283793093","[0.0]","[0.0]"
"0.6247029777752946","0.6518551647028544","[1.0]","[1.0]"
"0.30728181412983896","0.31540441830196453","[0.0]","[0.0]"
"0.7661987698627722","0.8174942139802653","[1.0]","[1.0]"
"0.7670146167053793","0.6504467269116817","[1.0]","[1.0]"
"0.6132060788578866","0.6913437965587075","[1.0]","[1.0]"
"0.11269063281798274","0.2773754708141413","[0.0]","[0.0]"
"0.7667431763263253","0.769658651804467","[1.0]","[1.0]"
"0.5951764191772992","0.7572633992312342","[1.0]","[1.0]"
"0.5636441242714035","0.6754065863680249","[1.0]","[1.0]"
"0.20791106701542042","0.33930908953569777","[0.0]","[0.0]"
"0.35574155549294667","0.2938100689733689","[0.0]","[0.0]"
"0.8089543565395535","0.743587263948229","[1.0]","[1.0]"
"0.7302807716529617","0.6435840296251576","[1.0]","[1.0]"
"0.10733656856605062","0.27841345311984445","[0.0]","[0.0]"
"0.7369039131594115","0.5892953617917851","[1.0]","[1.0]"
"0.6964795861891578","0.7051296154301459","[1.0]","[1.0]"
"0.6309831740964102","0.7375797106807298","[1.0]","[1.0]"
"0.6943425344913601","0.6451501263957684","[1.0]","[1.0]"
"0.19762012383289831","0.21402879796399027","[0.0]","[0.0]"
"0.7068416865227072","0.6187634562031932","[1.0]","[1.0]"
"0.7836887106420388","0.7417996304075131","[1.0]","[1.0]"
"0.608114128232769","0.760233297127346","[1.0]","[1.0]"
"0.7993744375277144","0.7658293586768713","[1.0]","[1.0]"
"0.4058413027502132","0.31219562027035136","[0.0]","[0.0]"
"0.1938955304920618","0.2875795699018078","[0.0]","[0.0]"
"0.06189346113600663","0.32019185953328816","[0.0]","[0.0]"
"0.7948985498235265","0.7459190070394756","[1.0]","[1.0]"
"0.35246528035541563","0.17810422346536958","[0.0]","[0.0]"
"0.38946739331041974","0.2710673920002654","[0.0]","[0.0]"
"0.7053732495727487","0.6098820608676943","[1.0]","[1.0]"
"0.7294227691339077","0.7292679603171851","[1.0]","[1.0]"
"0.6318266904920281","0.7302961313272623","[1.0]","[1.0]"
"0.290235232305476","0.31722709497315904","[0.0]","[0.0]"
"0.3481753321820221","0.3218662445569192","[0.0]","[0.0]"
"0.7051781571577038","0.7168155817505961","[1.0]","[1.0]"
"0.6713810250302086","0.6180156310307287","[1.0]","[1.0]"
"0.618040318677548","0.7237287248493801","[1.0]","[1.0]"
"0.37037367181404335","0.23420991427879279","[0.0]","[0.0]"
"0.7202091580446071","0.8036785849486796","[1.0]","[1.0]"
"0.3270435924996412","0.33113244795186836","[0.0]","[0.0]"
"0.8040945651642167","0.782831150094155","[1.0]","[1.0]"
"0.7179420948048144","0.6564766654166782","[1.0]","[1.0]"
"0.2295635263550445","0.32200696118413075","[0.0]","[0.0]"
"0.448701683881577","0.21634698692946883","[0.0]","[0.0]"
"0.8041420700391079","0.7675334916173461","[1.0]","[1.0]"
"0.27986772157556083","0.34538974142388396","[0.0]","[0.0]"
