"X","Y","color"
"0.6497993424238188","0.5729733581224095","[0.0, 1.0]","[0.0, 1.0]"
"0.5193421122629969","0.3189915109662848","[0.0, 0.0]","[0.0, 0.0]"
"0.6240365938482552","0.4448432846188153","[0.0, 1.0]","[0.0, 0.0]"
"0.6335005837496901","0.22811024234011645","[0.0, 1.0]","[0.0, 0.0]"
"0.45981371130000065","0.23517713993109365","[0.0, 0.0]","[0.0, 0.0]"
"0.7854271690998268","0.3173161486730409","[0.0, 1.0]","[0.0, 0.0]"
"0.3640685249412093","0.3429250703503473","[0.0, 0.0]","[0.0, 0.0]"
"0.4026984419374107","0.3198574534230013","[0.0, 0.0]","[0.0, 0.0]"
"0.5659858945037612","0.3372061666180411","[0.0, 1.0]","[0.0, 0.0]"
"0.4431143197651989","0.43211592584491043","[0.0, 0.0]","[0.0, 0.0]"
"0.43769606540838624","0.7795858705144939","[1.0, 0.3018756401887055]","[1.0, 0.0]"
"0.5910908188769843","0.15061152174942574","[0.0, 0.13581512824427833]","[0.0, 0.0]"
"0.6574325523109591","0.4712647657652405","[0.0, 1.0]","[0.0, 1.0]"
"0.5626255714870542","0.8698938801461431","[1.0, 1.0]","[1.0, 0.0]"
"0.5874291003617468","0.43801824569635117","[0.0, 1.0]","[0.0, 1.0]"
"0.4635753720800075","0.7733159268952312","[1.0, 1.0]","[1.0, 0.0]"
"0.6054332194542621","0.5703039475743217","[0.0, 1.0]","[0.0, 1.0]"
"0.6606966183188452","0.5486947244626127","[0.0, 1.0]","[0.0, 1.0]"
"0.8803895115751","0.4997060130148122","[0.0, 1.0]","[0.0, 1.0]"
"0.3368218243991921","0.8167292988741991","[1.0, 0.0]","[1.0, 0.0]"
"0.524494745574105","0.3818690194284854","[0.0, 0.0]","[0.0, 1.0]"
"0.6077123080795774","0.31009850762350805","[0.0, 1.0]","[0.0, 0.0]"
"0.38784411074834063","0.22755311201912382","[0.0, 0.0]","[0.0, 0.0]"
"0.32172248642317236","0.7194341748986206","[1.0, 0.0]","[1.0, 0.0]"
"0.7586455311353119","0.3023496534482641","[0.0, 1.0]","[0.0, 1.0]"
"0.7041304570671727","0.44151278634579394","[0.0, 1.0]","[0.0, 0.0]"
"0.620875478857764","0.3237845353784916","[0.0, 1.0]","[0.0, 0.0]"
"0.8633079144759669","0.6261202588872951","[0.0, 1.0]","[0.0, 1.0]"
"0.25410972297234713","0.7571676528513523","[1.0, 0.0]","[1.0, 0.0]"
"0.575099481409459","0.5530179842654057","[0.0, 1.0]","[0.0, 1.0]"
"0.5632585815366152","0.2506580117387227","[0.0, 0.0]","[0.0, 0.0]"
"0.4463795941564509","0.3610048586440973","[0.0, 0.0]","[0.0, 0.0]"
"0.33324131170623805","0.7521494971098804","[1.0, 0.0]","[1.0, 0.0]"
"0.3370048257294283","0.7181222657826374","[1.0, 0.0]","[1.0, 0.0]"
"0.24599943741620833","0.6593779770808491","[1.0, 0.0]","[1.0, 0.0]"
"0.7518581965478884","0.30543359413707816","[0.0, 1.0]","[0.0, 1.0]"
"0.6208417222601855","0.5030912290327763","[0.0, 1.0]","[0.0, 1.0]"
"0.7107732864303092","0.4255321565876835","[0.0, 1.0]","[0.0, 1.0]"
"0.7822171974980899","0.3060205126450811","[0.0, 1.0]","[0.0, 1.0]"
"0.3528370572798961","0.7578187228977367","[1.0, 0.0]","[1.0, 0.0]"
"0.5694870934569366","0.43384980344554974","[0.0, 1.0]","[0.0, 0.0]"
"0.752003528609327","0.6013816988771442","[0.0, 1.0]","[0.0, 1.0]"
"0.2388011888309204","0.705376598177128","[1.0, 0.0]","[1.0, 0.0]"
"0.2646174251759892","0.5894002310601664","[1.0, 0.0]","[1.0, 0.0]"
"0.7076288847037783","0.39254207009494646","[0.0, 1.0]","[0.0, 1.0]"
"0.5888079286540568","0.35457041394899713","[0.0, 1.0]","[0.0, 0.0]"
"0.6159976098106622","0.499733486104518","[0.0, 1.0]","[0.0, 1.0]"
"0.8644172916132266","0.6116159974472997","[0.0, 1.0]","[0.0, 1.0]"
"0.5469723231734517","0.25006016771230066","[0.0, 0.0]","[0.0, 0.0]"
"0.2359563615999699","0.6325386540779929","[1.0, 0.0]","[1.0, 0.0]"
"0.5541680613289126","0.10884033122934583","[0.0, 0.0]","[0.0, 0.0]"
"0.5315195644749761","0.29755414059499746","[0.0, 0.0]","[0.0, 0.0]"
"0.7439355273166061","0.3528763897175181","[0.0, 1.0]","[0.0, 1.0]"
"0.6954140834914728","0.4662277482179448","[0.0, 1.0]","[0.0, 1.0]"
