"X","Y","color"
"0.7696268559677875","0.5703893622642593","[1.0]","[1.0]"
"0.5076112689310075","0.4633337302663285","[0.0]","[1.0]"
"0.2957507386857221","0.33796298263422625","[0.0]","[0.0]"
"0.6487491765449929","0.2759525605240613","[0.0]","[1.0]"
"0.5962888007682705","0.6281490992789203","[1.0]","[1.0]"
"0.6384503012528691","0.5040829864449052","[0.0]","[1.0]"
"0.38532462232986187","0.33159636941146436","[0.0]","[0.0]"
"0.7790888047701162","0.5306328984973508","[1.0]","[1.0]"
"0.3818693012629688","0.668822800909715","[0.0]","[1.0]"
"0.5607735085679961","0.3747316495009947","[0.0]","[1.0]"
"0.6490901978507397","0.6610830083622624","[1.0]","[1.0]"
"0.5675742757783421","0.3890225552457351","[0.0]","[0.0]"
"0.44681141726012197","0.4035657636749178","[0.0]","[0.0]"
"0.6057289534844936","0.6377944922663153","[1.0]","[1.0]"
"0.3939299337053174","0.6880767116733174","[0.0]","[1.0]"
"0.331268490713286","0.32372836217636985","[0.0]","[0.0]"
"0.6464381271079863","0.29568639050901263","[0.0]","[0.0]"
"0.5488867209043106","0.496627661119433","[0.0]","[0.0]"
"0.43042501544742523","0.37432707895242345","[0.0]","[1.0]"
"0.5187166642059484","0.5600938552634981","[0.0]","[1.0]"
"0.5913782586717136","0.24338694058309576","[0.0]","[0.0]"
"0.804127470720934","0.3815312253248114","[1.0]","[1.0]"
"0.4470564888508955","0.3907120819503843","[0.0]","[0.0]"
"0.4448896645638694","0.1723533099299654","[0.0]","[0.0]"
"0.3768987195369028","0.4255282211881499","[0.0]","[0.0]"
"0.4712060751707379","0.3474654880921784","[0.0]","[0.0]"
"0.5658394919814936","0.42041884437732896","[0.0]","[0.0]"
"0.4508200788746754","0.46284102565849217","[0.0]","[0.0]"
"0.30186586157668643","0.31042308155653886","[0.0]","[0.0]"
"0.3362421476261348","0.2232538898297316","[0.0]","[0.0]"
"0.31489167790934053","0.3434511246646823","[0.0]","[0.0]"
"0.49278343052320295","0.5669164729689476","[0.0]","[0.0]"
"0.5359705115536179","0.6418483173997064","[1.0]","[1.0]"
"0.4946502296589647","0.3370268368741171","[0.0]","[0.0]"
"0.4301566578849747","0.6738725953692632","[0.0]","[1.0]"
"0.6387474644547417","0.3846284680209436","[0.0]","[1.0]"
"0.6233082063896569","0.5539724923535672","[1.0]","[0.0]"
"0.5664472421200623","0.5814852156392869","[0.0]","[1.0]"
"0.6344228273316275","0.48067001944610566","[0.0]","[1.0]"
"0.4654440226520459","0.39743308283446627","[0.0]","[1.0]"
"0.5880486305200744","0.6051673159310565","[1.0]","[1.0]"
"0.19061146383113842","0.44920577233089765","[0.0]","[0.0]"
"0.587969230183206","0.31846844570021976","[0.0]","[0.0]"
